Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
123,10,2136.64,2.758,5.86,12.53,55.62,2150,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
124,10,2161.57,2.758,6.31,13.64,63.12,2185.75,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
125,10,1878.09,2.758,6.84,12.85,40.28,2132.55,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
126,10,2142.84,2.758,9.08,19.45,87.22,2327,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
127,10,2099.75,2.758,10.11,21.23,89,2264.7,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
128,11,1757.63,2.691,3.17,5.58,16.07,1987.25,0,MG112,Drumondville
129,11,1690.38,2.691,5.63,9.52,25.59,2065.8,0,MG112,Drumondville
130,11,1749.67,2.691,6.92,12.11,34.6,2116.75,0,MG112,Drumondville
131,11,1861,2.691,11.38,21.43,69.5,2549.65,1,MG112,Drumondville
132,11,1861,2.691,12.74,23.71,77,2637,1,MG112,Drumondville
133,11,1771.94,2.691,7.86,13.92,40.77,2203.7,0,MG112,Drumondville
134,11,1786.01,2.691,10,17.86,53.1,2222.75,0,MG112,Drumondville
135,11,1856.79,2.691,10.35,19.22,62.01,2285.25,0,MG112,Drumondville
136,11,1826.52,2.691,11.46,20.94,65.18,2468.2,0,MG112,Drumondville
137,11,1863.8,2.691,11.54,21.51,69.96,2582.85,0,MG112,Drumondville
138,11,1834.34,2.691,13.14,24.1,75.69,2651.55,0,MG112,Drumondville
139,11,1868.68,2.691,13.33,24.91,81.5,2671.55,0,MG112,Drumondville
140,11,1851.7,2.691,11.08,20.51,65.77,2552.6,0,MG112,Drumondville
150,15,1994.06,2.781,2.8,5.59,19.73,1981.6,0,MG20,Beauce
151,15,2157.67,2.781,4.6,9.93,44.27,2109.2,0,MG20,Beauce
152,15,2102,2.781,6.61,13.6,55.71,2122,1,MG20,Beauce
153,15,2102,2.781,9.12,19.18,79,2821,1,MG20,Beauce
154,15,2199.82,2.781,5.88,12.94,61.88,2224.6,0,MG20,Beauce
155,15,2206.19,2.781,7.36,16.25,78.56,2190.95,0,MG20,Beauce
156,15,2136.48,2.781,10.23,21.85,94.23,2637.9,0,MG20,Beauce
157,16,2135,2.83,2.13,4.56,18.56,1954.4,0,MG20,Sherbrooke
158,16,2176,2.83,3.51,7.63,33.02,2017.15,0,MG20,Sherbrooke
159,16,2177,2.83,4.38,9.54,41.34,2071.45,0,MG20,Sherbrooke
160,16,2220,2.83,4.9,10.87,50.4,2091.55,0,MG20,Sherbrooke
161,16,2290,2.83,5.33,12.19,63.9,2140.25,0,MG20,Sherbrooke
162,16,2281,2.83,6.11,13.95,71.95,2411.45,0,MG20,Sherbrooke
163,16,2277,2.83,6.18,14.08,72.06,2288,0,MG20,Sherbrooke
164,16,2233,2.83,4.91,10.97,52.01,2101,0,MG20,Sherbrooke
165,16,2267,2.83,5.55,12.58,63.22,2277.45,0,MG20,Sherbrooke
166,16,2321,2.83,6.25,14.5,80.6,2358.75,0,MG20,Sherbrooke
167,17,1982,2.7,8.3,16.54,62.22,2128.05,0,MG112,Beauce
168,17,1973,2.7,9.8,19.25,71.56,2203.15,0,MG112,Beauce
169,17,1932,2.7,9.47,18.45,64.92,2218.65,1,MG112,Beauce
170,17,1932,2.7,12.01,23.2,82,2801,1,MG112,Beauce
171,17,1922,2.7,3.7,7.16,24.85,1970.5,0,MG112,Beauce
172,17,2039,2.7,9.2,18.72,76.45,2550.45,0,MG112,Beauce
173,17,1999,2.7,3.4,6.7,25.79,1981.95,0,MG112,Beauce
174,17,1945,2.7,5.2,10.08,36.06,2052.1,0,MG112,Beauce
175,18,1554,2.709,12.63,19.64,46.05,2270.5,0,MG112,Beauce (St Prosper)
176,18,1687,2.709,16.86,28.45,75.41,2655.65,0,MG112,Beauce (St Prosper)
