Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,theta,DegreeSat_%,Probe,IsPVC,Metatype,Site,g1,g2,rmse,d10,cu
26,3,1619.54,2.711,10.45,0.1693,42.05,2256.9,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
27,3,1627.57,2.711,11.6,0.1889,47.26,2341.9,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
28,3,1641.33,2.711,13.2,0.21670000000000003,54.93,2432.85,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
29,3,1624.97,2.711,14.76,0.2399,59.9,2558.05,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
30,3,1655.3,2.711,17.49,0.2896,74.38,2619.25,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
31,3,1614.57,2.711,19.23,0.3105,76.38,2649.9,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
32,3,1615.72,2.711,19.47,0.3146,77.87,2660.5,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
33,4,2355.86,2.865,2.2,0.0518,29.16,2048.95,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
34,4,2400.49,2.865,3.25,0.0781,48.14,2053.4,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
35,4,2474.1,2.865,4.32,0.1069,78.3,2206.1,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
36,4,1982.9,2.865,7.16,0.1421,46.14,2614.7,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
37,4,2413.16,2.865,5.09,0.12279999999999999,77.83,2190.55,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
38,4,2231.0,2.865,4.22,0.0942,43.0,2065.75,1,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
39,4,2231.0,2.865,7.61,0.1698,77.0,2738.0,1,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
40,4,1967.43,2.865,7.17,0.141,45.0,2481.2,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
41,4,2298.71,2.865,3.65,0.08380000000000001,42.39,2101.45,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
42,4,2409.78,2.865,5.0,0.12050000000000001,75.8,2155.4,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
43,4,2258.75,2.865,3.02,0.06820000000000001,32.23,1986.55,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
44,4,2303.6,2.865,4.88,0.11230000000000001,57.3,2081.45,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
45,4,2377.41,2.865,5.68,0.135,79.28,2186.45,0,MG20,Université de Sherbrooke,0.10301601593268606,0.9544003348936819,0.045477933882535924,1.023858834353332,0.10369641694913276
46,5,2188.33,2.723,2.66,0.058300000000000005,29.67,1965.2,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
47,5,2299.5,2.723,4.93,0.1133,72.83,2023.8,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
48,5,2299.37,2.723,5.61,0.129,82.84,2283.3,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
49,5,2118.01,2.723,2.62,0.055400000000000005,21.94,1970.0,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
50,5,2190.69,2.723,3.77,0.08259999999999999,42.23,2031.05,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
51,5,2166.13,2.723,3.92,0.085,41.54,2129.65,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
52,5,2280.06,2.723,5.96,0.1076,63.76,2302.55,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
53,5,2305.72,2.723,7.73,0.1358,83.46,2536.85,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
54,5,2271.3,2.723,9.49,0.0842,44.84,1991.7,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
55,5,2101.84,2.723,2.29,0.1069,56.15,2055.65,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
56,5,2211.68,2.723,3.81,0.1383,84.98,2498.5,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
57,5,2279.9,2.723,6.07,0.11359999999999999,58.47,2260.8,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
58,5,2265.93,2.723,9.81,0.0501,21.91,1967.2,0,MG20,Magog,0.10254638682000428,0.9796608119554246,0.03455667523463759,1.0280201519480943,0.10993657551294937
59,6,1812.06,2.817,5.44,0.0985,27.61,2009.9,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
60,6,2213.93,2.817,7.62,0.1686,78.77,2365.25,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
61,6,1866.88,2.817,9.66,0.18030000000000002,53.47,2580.4,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
62,6,2137.0,2.817,6.23,0.1331,55.0,2135.55,1,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
63,6,2137.0,2.817,8.78,0.1875,78.0,2732.8,1,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
64,6,2033.0,2.817,6.33,0.12869999999999998,46.0,2142.45,1,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
65,6,2033.0,2.817,10.9,0.22160000000000002,80.0,2789.0,1,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
66,6,2284.26,2.817,6.78,0.1549,81.9,2139.1,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
67,6,2174.98,2.817,3.2,0.0696,30.56,1991.35,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
68,6,2215.42,2.817,4.57,0.1012,47.38,2049.15,0,MG20,Drumondville,0.11454978803408346,1.0392902879256147,0.025164077625657304,0.922691535084992,0.12478341048839738
