Proctor_ID,Soil_ID,Density_kg/m3,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC
194,21,2100.93,5.01,10.53,43.08,2078.8,0
195,21,2100.93,8.97,18.84,77.03,2872,1
196,21,2101,5.01,10.53,43,2078.8,1
197,21,2101,8.97,18.84,77,2872,1
198,21,2149,5.74,12.34,54,2139.5,1
199,21,2149,8.48,18.22,80,2728,1
200,21,2081,5.75,11.98,48,2135.1,1
201,21,2081,10.27,21.38,85,2869,1
202,21,2149.34,5.74,12.34,54.33,2119.3,0
203,21,2149.34,8.48,18.22,80.2,2728,1
204,22,2184,4.58,10,46.42,2056.05,0
205,22,2243,6.93,15.19,78.17,2286.9,1
206,22,2243,7.86,17.62,91,2824,1
207,22,2258,6.37,14.39,76.14,2196,0
208,22,2270,7.5,17.03,93.22,2325.7,0
209,23,2184.19,2.86,6.25,30,2184.2,0
210,23,2255.19,3.61,8.15,45,2255.2,0
211,23,2238.99,4.59,10.28,54,2239,0
212,23,2242.13,6.35,14.24,76,2242.1,0
213,23,2269.61,6.99,15.87,89,2269.6,0
214,23,2169.95,2.31,5.01,23,2169.9,0
215,23,2232.76,3.07,6.86,36,2232.8,0
216,23,2260.07,4.4,9.94,55,2260.1,0
217,23,2251.51,6.04,13.6,74,2387.6,0
218,23,2283.74,7.26,16.58,96,2537.55,0
219,24,2120.7,2.41,5.1,21,2014.9,0
220,24,2203.44,5.72,12.61,58,2074.75,1
221,24,2203.44,8.31,18.32,84,2788,1
222,24,2160.7,3.33,7.2,31,2051.475,0
223,24,2263,4.87,11.01,56,2134.2,0
224,24,2310.1,5.98,13.82,76,2195.5,0
225,24,2278.1,6.93,15.78,82,2278.1,0
226,25,2176.2,2.45,5.32,23,2055.15,0
227,25,2224.9,3.54,7.88,36,2102.05,0
228,25,2282,5.18,11.83,60,2355.65,0
229,25,2315.6,6.64,15.38,82,2636.25,0
230,25,2245.3,7.26,16.31,77,2621.15,0
231,26,2224.6,2.76,6.13,31,2035,0
232,26,2258.2,4.08,9.21,49,2210.15,0
233,26,2260,5.04,11.38,61,2278.2,0
234,26,2206.9,4.48,9.89,48,2106.55,0
235,26,2273.4,8.02,11.41,62,2211.6,0
236,26,2213,5.26,11.65,57,2260.2,0
237,26,2292.3,4.73,10.84,62,2121.65,0
238,26,2276.5,5.25,11.95,66,2187.4,0
239,27,2088.9,3.92,8.18,34,2016.2,0
240,27,2116,3.45,7.29,32,2003.85,1
241,27,2116,7.62,16.12,70,2837,1
242,27,2168.1,4.23,9.16,44,2062,0
243,27,2229.1,5.28,11.77,63,2109.8,0
244,27,2259.5,5.69,12.85,73,2325.6,0
245,27,2242.9,5.44,12.21,67,2109.9,0
246,27,2309.4,6.64,15.34,97,2547.4,0
247,28,2220.7,1.94,4.31,22,1990.4,0
248,28,2330.5,3.56,7.91,53,2046.1,0
249,28,2327.7,4.21,9.34,62,2085.35,0
250,28,2315.1,5.48,12.16,78,2036.75,0
251,28,2243.53,5.76,12.92,69,2178.15,1
252,28,2243.53,7.45,16.71,89,2646,1
253,28,2260.05,6.11,13.81,76,2063.85,1
254,28,2260.05,7.72,17.44,96,2683,1
255,28,2234.25,5.56,12.43,65,2010.8,1
256,28,2234.25,7.87,17.58,92,2707,1
257,28,2125.38,5.13,10.91,47,2061,1
258,28,2125.38,9.94,21.13,92,2712,1
259,28,2060.99,4.44,9.15,36,1981.5,1
260,28,2060.99,11.12,22.92,90,2833,1
261,28,2261.3,6.55,14.55,82,2078.75,0
262,28,2064,10.03,20.69,82,2569,1
263,28,2028,5.02,10.17,38,2059,1
264,28,2183.1,3.14,6.98,33,1954,0
265,28,2290.3,4.65,10.32,62,2037.95,0
266,29,2241.9,4.66,10.46,53,2075.8,0
267,29,2277.7,5.44,12.39,68,2118.95,0
268,29,2263.6,5.95,13.47,72,2175.7,0
269,29,2280.9,7.24,16.51,91,2281.35,0
270,29,2285.2,4.12,9.42,52,2004.2,0
271,29,2248.7,6.18,13.91,72,2145.75,0
272,30,1802.8,5.29,9.54,29,2054.2,0
273,30,1840,7.71,14.19,44,2168.25,0
274,30,1864.8,9.77,18.22,59,2271.65,0
275,30,1841.9,12.93,23.81,75,2496.7,0
276,30,1861.6,13.28,24.72,79,2532.8,0
